timestamp,lmp,moer,actual_dispatch_mw
2026-01-07 23:00:00,57.18,1150.6,0.0
2026-01-08 00:00:00,59.48,1165.2,10.0
2026-01-08 01:00:00,66.96,1197.2,10.0
2026-01-08 02:00:00,61.84,1138.7,10.0
2026-01-08 03:00:00,60.36,1122.5,10.0
2026-01-08 04:00:00,47.44,1190.6,0.0
2026-01-08 05:00:00,43.71,1036.0,0.0
2026-01-08 06:00:00,38.72,980.3,0.0
2026-01-08 07:00:00,25.21,999.6,0.0
2026-01-08 08:00:00,22.08,956.0,0.0
2026-01-08 09:00:00,7.79,749.5,0.0
2026-01-08 10:00:00,1.97,680.9,0.0
2026-01-08 11:00:00,-30.37,609.7,-10.0
2026-01-08 12:00:00,-40.41,579.4,-10.0
2026-01-08 13:00:00,-31.06,470.4,-10.0
2026-01-08 14:00:00,-32.03,520.2,-10.0
2026-01-08 15:00:00,4.76,622.7,0.0
2026-01-08 16:00:00,18.01,705.0,0.0
2026-01-08 17:00:00,27.88,773.3,0.0
2026-01-08 18:00:00,38.33,864.9,0.0
2026-01-08 19:00:00,42.01,903.3,0.0
2026-01-08 20:00:00,47.43,1006.1,0.0
2026-01-08 21:00:00,55.73,1066.7,0.0
2026-01-08 22:00:00,50.86,1133.7,0.0
2026-01-08 23:00:00,55.3,1149.8,0.0
2026-01-09 00:00:00,57.06,1205.6,0.0
2026-01-09 01:00:00,57.99,1230.4,10.0
2026-01-09 02:00:00,63.38,1196.1,10.0
2026-01-09 03:00:00,50.78,1177.0,0.0
2026-01-09 04:00:00,47.73,1128.3,0.0
2026-01-09 05:00:00,50.55,1074.7,0.0
2026-01-09 06:00:00,32.83,991.6,0.0
2026-01-09 07:00:00,31.49,954.0,0.0
2026-01-09 08:00:00,13.74,866.0,0.0
2026-01-09 09:00:00,10.52,847.4,0.0
2026-01-09 10:00:00,-1.55,739.1,0.0
2026-01-09 11:00:00,-30.11,611.0,-10.0
2026-01-09 12:00:00,-28.2,504.7,-10.0
2026-01-09 13:00:00,-44.34,466.6,-10.0
2026-01-09 14:00:00,-26.61,563.3,-10.0
2026-01-09 15:00:00,6.12,607.3,0.0
2026-01-09 16:00:00,11.57,706.3,0.0
2026-01-09 17:00:00,16.53,732.3,0.0
2026-01-09 18:00:00,34.77,896.7,0.0
2026-01-09 19:00:00,39.42,958.2,0.0
2026-01-09 20:00:00,51.36,979.9,0.0
2026-01-09 21:00:00,56.34,1060.5,0.0
2026-01-09 22:00:00,70.59,1134.6,10.0
2026-01-09 23:00:00,62.54,1168.1,10.0
2026-01-10 00:00:00,58.86,1182.7,0.0
2026-01-10 01:00:00,65.05,1196.9,10.0
2026-01-10 02:00:00,62.3,1183.9,10.0
2026-01-10 03:00:00,64.37,1171.1,10.0
2026-01-10 04:00:00,55.01,1170.9,0.0
2026-01-10 05:00:00,44.9,997.7,0.0
2026-01-10 06:00:00,43.75,1006.1,0.0
2026-01-10 07:00:00,19.94,949.8,0.0
2026-01-10 08:00:00,15.5,877.8,0.0
2026-01-10 09:00:00,6.2,773.5,0.0
2026-01-10 10:00:00,1.81,639.2,0.0
2026-01-10 11:00:00,-36.34,609.3,-10.0
2026-01-10 12:00:00,-29.43,579.4,-10.0
2026-01-10 13:00:00,-35.31,454.0,-10.0
2026-01-10 14:00:00,-38.04,553.5,-10.0
2026-01-10 15:00:00,-1.4,589.6,0.0
2026-01-10 16:00:00,17.01,690.1,0.0
2026-01-10 17:00:00,30.23,753.0,0.0
2026-01-10 18:00:00,46.32,858.8,0.0
2026-01-10 19:00:00,60.08,983.5,0.0
2026-01-10 20:00:00,52.45,1030.7,0.0
2026-01-10 21:00:00,50.27,1126.6,0.0
2026-01-10 22:00:00,48.19,1162.0,0.0
2026-01-10 23:00:00,65.58,1179.7,10.0
2026-01-11 00:00:00,60.12,1243.8,10.0
2026-01-11 01:00:00,61.49,1213.2,10.0
2026-01-11 02:00:00,57.31,1216.3,0.0
2026-01-11 03:00:00,55.37,1157.6,0.0
2026-01-11 04:00:00,56.4,1128.7,0.0
2026-01-11 05:00:00,43.7,1053.7,0.0
2026-01-11 06:00:00,34.02,1042.9,0.0
2026-01-11 07:00:00,20.85,909.2,0.0
2026-01-11 08:00:00,9.29,892.3,0.0
2026-01-11 09:00:00,8.84,778.9,0.0
2026-01-11 10:00:00,3.83,727.0,0.0
2026-01-11 11:00:00,-17.47,622.0,-10.0
2026-01-11 12:00:00,-32.46,582.2,-10.0
2026-01-11 13:00:00,-28.08,521.9,-10.0
2026-01-11 14:00:00,-32.21,480.4,-10.0
2026-01-11 15:00:00,-2.42,597.4,0.0
2026-01-11 16:00:00,9.34,656.7,0.0
2026-01-11 17:00:00,20.85,769.1,0.0
2026-01-11 18:00:00,47.11,914.2,0.0
2026-01-11 19:00:00,37.67,963.7,0.0
2026-01-11 20:00:00,55.0,992.2,0.0
2026-01-11 21:00:00,50.79,1044.3,0.0
2026-01-11 22:00:00,66.57,1127.7,10.0
2026-01-11 23:00:00,66.29,1130.0,10.0
